"","name_description","bottle_price","case_price"
"1","697 MUSCADET 1967, Nicolas","1.69","18.25"
"2","5006 ANIOU BLANC 1966, Nicolas","1.69","18.75"
"3","562 GROS PLANT 1967, Stauteieau","1.79","19.35"
"4","541 SAUMUR BLANC 1967, Plantagenets","1.79","19.35"
"5","987 MONTLOUIS 1967, Nicolas","1.79","19.35"
"6","5008 VOUVRAY 1961, Nicolas","1.99","21.50"
"7","391 SAUMUR CHAMPIGNY ROUGE 1966,","1.99","21.50"
"8","448 SANCERRE 1967, Nicolas","1.99","21.50"
"9","447 CHINON1966,Asher","2.49","26.90"
"10","741 QUINCY 1967, Domaine R. Pipet","2.59","27.95"
"11","710 BOURGUEIL 1966, Asher","2.79","30.15"
"12","480 POUILLY BLANC F UME 1967, Seguin.","2.79","30.15"
"13","547 SANCERRE 1967, Chateau de Sancerre.",".3.69","39.85"
"14","433 POUILLY BLANC FUME 1966, LaDoucette","3.79","40.95"
"15","874 SYLVANER 1967, Nicolas","1.69","18.25"
"16","1012 RIESLING SUPERIEUR 1966, Nicolas.","2.19","23.65"
"17","1015 RIESLING 1966, Hugel","2.55","27.40"
"18","955 GEWURZTRAMINER CRU DU MAMBURG 1965, Nicolas","2.69","29.05"
"19","887 GEWURZTRAMINER GRAND CRU 1966, Hugel","3.19","34.65"
"20","813 COTES-DU-RHONE 1966, Nicolas","1.29","13.95"
"21","388 CROZES-HERMITAGE 1966, Nicolas","1.99","21.50"
"22","835 GIGONDAS 1966, Co-op","2.29","24.75"
"23","845 CHATEAUNEUF DU PAPE 1961, Fines Roches","2.79","30.15"
"24","623 COTE ROTIE 1964, Bruno Thierry","2.99","32.30"
"25","471 HERMITAGE 1964, Chierpe AMP}: WINES OF THE RHONE","3.99","43.10"
"26","311 CROZES-HERMITAGE 1964, Noyer","2.29","24.75"
"27","484 CHATEAUNEUF DU PAPE BLANC 1966, Co-op","2.99","32.30"
"28","597 CONDRIEU 1964, Chateau du Rozay.","4.99","53.90"
"29","441 CHATEAU GRILLET 1966, WINES OF THE IURA","13.69","147.73"
"30","769 CHATEAU D’ARLAY ROSE, Comte de Vogue","2.49","26.90"
"31","771 CHATEAU D’ARLAY BLANC 1964, Comte de Vogue","3.49","37.70"
"32","746 CHATEAU D’ARLAY ROUGE 1964, Comte de Vogue","3.49","37.70"
"33","948 ARBOIS IAUNE 1955, Nicolas","4.95","53.45"
"34","947 CHATEAU CHALON 1959, Nicolas","7.75","83.70"
"35","5000 COTES DE BERGERAC, Nicolas","1.29","13.95"
"36","997 COTEAUX DU LANGUEDOC ROUGE 1966, Nicolas","1.29","13.95"
"37","856 SCIATINO BLANC 1966 (Corsica)","1.49","16.10"
"38","847 SCIATINO ROUGE 1966 (Corsica)","1.49","16.10"
"39","5029 IURANCON SEC 1966, Nicolas","1.49","16.10"
"40","520 CORBIERES CHAINTRUEL 1966, Nicolas","1.49","16.10"
"41","734 ST. POURCAIN-SUR-SIOULE 1967","1.59","17.15"
"42","810 FITOU ROUGE [Pyrenees]","1.69","18.25"
"43","885 COTES DE VENTOUX ROUGE 1967 (Provence)","1.79","19.35"
"44","808 CAHORS ROUGE 1966 (Lot Valley)","1.79","19.35"
"45","805 CHATEAU ROUBAUD ROGUE 1966","1.79","19.35"
"46","5025 MONBAZILLAC 1966, Nicolas","1.99","21.50"
"47","782 BOUZY ROUGE 1966 (Red wine of Champagne)","4.99","53.90"
"48","505 PINOT CHARDONNAY 1966, Cataluna","1.49","16.10"
"49","498 CABERNET SAUVIGNON 1966, Cataluna.","1.49","16.10"
"50","525 GAMAY ROSE 1966, Cataluna","1.49","16.10"
"51","327 MARQUIS DE RISCAL [Red]","2.25","24.30"
"52","424 MARQUIS DE MURRIETA [Red]","2.29","24.73"
"53","438 ORVIETO DRY, Bigi (White)","1.75","18.90"
"54","579 SOAVE 1966, Cantina Sociale (White)","1.79","19.35"
"55","574 VALPOLICELLA 1966, Cantina Sociale","1.79","19.35"
"56","531 CHIANTI CLASSICO RISERVA 1964,","1.99","21.50"
"57","461 VALPOLICELLA, Bertani","2.57","27.76"
"58","453 BARDOLINO, Bertani","2.57","27.76"
"59","473 CHIANTI RISERVA DUCALE 1963, Ruffino","3.59","38.77"
"60","5043 DAO CABIDO [Red]","1.65","17.80"
"61","5089 GRANDIO (like white Graves)","1.79","19.35"
"62","5030 VINHO VERDE, Lagosta","1.99","21.95"
"63","544 MATEUS ROSE [Pink]","2.29","24.75"
"64","425 LANCERS ROSE (Pink)","3.75","40.50"
